151510FAV000001,1000
151510FAV000001,2040
151510FAV000002,2040
151510FBS000001,2040
151510FBS000001,6329
142510FBS000003,1000
151510FBS000005,1301
142510FBS000005,2040
151510FBS000006,1000
151510FBS000006,2040
142510FBS000006,4304
142510FBS000006,5023
142510FBS000006,8522
151510FBS000007,1301
151510FBS000007,6329
151510FBS000002,1000
151510FBS000002,6329
151510FBS000003,2040
142510FBS000004,8522
151510FBS000004,1301
151510FBS000009,6380
151510FBS000010,1000
151510FCR000001,2040
151510FCR000002,1000
151510FCR000002,2040
142510FPG000001,2379
151510FPG000001,6329
142510FPG000004,2040
151510FPG000003,1000
132510AAV000004,1000
151510AAV000001,4906
151510ABG000001,3062
151510ABG000001,4098
151510ABG000001,6369
151510ABG000002,9714
151510ABG000003,6813
151510ABS000016,4906
151510ABS000016,6813
151510ABS000016,7303
142510ABS000005,2072
151510ABS000001,5270
151510ABS000003,5270
151510ABS000003,6861
151510ABS000003,9764
141510ABS000004,1000
142510ABS000006,4066
151510ABS000004,3474
151510ABS000004,9764
141510ABS000006,2676
151510ABS000008,4960
151510ABS000009,9764
142510ABS000007,2364
151510ABS000013,8792
151510ABS000017,4960
151510ABS000017,6861
151510ABS000017,9764
141510ABS000007,2072
141510ABS000007,8175
142510ABS000009,2364
142510ABS000009,8175
142510ABS000009,8582
151510ABS000010,4960
151510ABS000010,6861
151510ABS000011,5270
151510ABS000011,9764
151510ABS000006,2072
151510ABS000006,3474
151510ABS000006,5270
151510ABS000006,6861
151510ABS000006,8175
151510ABS000006,9764
151510ABS000007,2072
151510ABS000007,6861
151510ABS000007,9764
151510APC000002,1000
151510APC000002,2040
151510APG000001,6813
151510APG000001,9714
151510APG000002,5213
151510APG000002,9714
142510APG000004,4361
151510APG000003,1000
142510APG000006,1000
142510APG000006,2308
142510APG000006,8522
151510APG000004,4906
151510APG000004,5213
151510APG000004,6813
151510APG000004,9714
142510APG000012,2515
142510APG000008,2040
142510APG000008,2515
142510APG000008,4304
142510APG000008,5023
151510APG000006,9714
151510APG000007,1000
151510APG000007,2040
151510APG000007,4906
151510APG000007,9714
141510APG000008,2608
151510APG000008,2040
151510APG000008,6813
151510APG000008,9714
